"","Tournament_Game","Year","Month","Day","Team1","Team1_Seed","Team1_Score","Team2","Team2_Seed","Team2_Score"
"450","NCAA, East - Second Round","2017","3","19","South Carolina",7,"88","Duke",2,"81"
"451","NCAA, South - Second Round","2017","3","19","Wichita State",10,"62","Kentucky",2,"65"
"452","NCAA, South - Second Round","2017","3","19","Cincinnati",6,"67","UCLA",3,"79"
"453","NCAA, Midwest - Second Round","2017","3","19","Rhode Island",11,"72","Oregon",3,"75"
"454","NCAA, East - Second Round","2017","3","19","USC",11,"78","Baylor",3,"82"
"455","NCAA, Midwest - Regional Semifinal","2017","3","23","Purdue",4,"66","Kansas",1,"98"
"456","NCAA, West - Regional Semifinal","2017","3","23","West Virginia",4,"58","Gonzaga",1,"61"
"457","NCAA, West - Regional Semifinal","2017","3","23","Xavier",11,"73","Arizona",2,"71"
"458","NCAA, Midwest - Regional Semifinal","2017","3","23","Michigan",7,"68","Oregon",3,"69"
"459","NCAA, South - Regional Semifinal","2017","3","24","Butler",4,"80","UNC",1,"92"
"460","NCAA, South - Regional Semifinal","2017","3","24","UCLA",3,"75","Kentucky",2,"86"
"461","NCAA, East - Regional Semifinal","2017","3","24","South Carolina",7,"70","Baylor",3,"50"
"462","NCAA, East - Regional Semifinal","2017","3","24","Wisconsin",8,"83","Florida",4,"84"
"463","NCAA, Midwest - Regional Final","2017","3","25","Oregon",3,"74","Kansas",1,"60"
"464","NCAA, West - Regional Final","2017","3","25","Xavier",11,"59","Gonzaga",1,"83"
"465","NCAA, South - Regional Final","2017","3","26","Kentucky",2,"73","UNC",1,"75"
"466","NCAA, East - Regional Final","2017","3","26","South Carolina",7,"77","Florida",4,"70"
"467","NCAA, National - National Semifinal","2017","4","1","Oregon",3,"76","UNC",1,"77"
"468","NCAA, National - National Semifinal","2017","4","1","South Carolina",7,"73","Gonzaga",1,"77"
"469","NCAA, National - National Final","2017","4","3","Gonzaga",1,"65","UNC",1,"71"
"474","NCAA, Midwest - First Round","2018","3","15","Penn",16,"60","Kansas",1,"76"
"475","NCAA, East - First Round","2018","3","15","Radford",16,"61","Villanova",1,"87"
"476","NCAA, Midwest - First Round","2018","3","15","Iona",15,"67","Duke",2,"89"
"477","NCAA, West - First Round","2018","3","15","Montana",14,"47","Michigan",3,"61"
"478","NCAA, East - First Round","2018","3","15","Stephen F Austin",14,"60","Texas Tech",3,"70"
"479","NCAA, South - First Round","2018","3","15","Wright State",14,"47","Tennessee",3,"73"
"480","NCAA, South - First Round","2018","3","15","Buffalo",13,"89","Arizona",4,"68"
"481","NCAA, West - First Round","2018","3","15","UNC Greensboro",13,"64","Gonzaga",4,"68"
"482","NCAA, South - First Round","2018","3","15","Davidson",12,"73","Kentucky",5,"78"
"483","NCAA, West - First Round","2018","3","15","South Dakota State",12,"73","Ohio State",5,"81"
"484","NCAA, South - First Round","2018","3","15","Loyola IL",11,"64","Miami FL",6,"62"
"485","NCAA, West - First Round","2018","3","15","San Diego State",11,"65","Houston",6,"67"
"486","NCAA, East - First Round","2018","3","15","St Bonaventure",11,"62","Florida",6,"77"
"487","NCAA, Midwest - First Round","2018","3","15","Oklahoma",10,"78","Rhode Island",7,"83"
"488","NCAA, East - First Round","2018","3","15","Alabama",9,"86","Virginia Tech",8,"83"
"489","NCAA, Midwest - First Round","2018","3","15","NC State",9,"83","Seton Hall",8,"94"
"490","NCAA, South - First Round","2018","3","16","UMBC",16,"74","Virginia",1,"54"
"491","NCAA, West - First Round","2018","3","16","Texas Southern",16,"83","Xavier",1,"102"
"492","NCAA, East - First Round","2018","3","16","Cal State Fullerton",15,"48","Purdue",2,"74"
"493","NCAA, South - First Round","2018","3","16","Georgia State",15,"53","Cincinnati",2,"68"
"494","NCAA, West - First Round","2018","3","16","Lipscomb",15,"66","UNC",2,"84"
"495","NCAA, Midwest - First Round","2018","3","16","Bucknell",14,"78","Michigan State",3,"82"
"496","NCAA, Midwest - First Round","2018","3","16","College of Charleston",13,"58","Auburn",4,"62"
"497","NCAA, East - First Round","2018","3","16","Marshall",13,"81","Wichita State",4,"75"
"498","NCAA, East - First Round","2018","3","16","Murray State",12,"68","West Virginia",5,"85"
"499","NCAA, Midwest - First Round","2018","3","16","New Mexico State",12,"68","Clemson",5,"79"
"500","NCAA, Midwest - First Round","2018","3","16","Syracuse",11,"57","TCU",6,"52"
"501","NCAA, East - First Round","2018","3","16","Butler",10,"79","Arkansas",7,"62"
"502","NCAA, West - First Round","2018","3","16","Providence",10,"69","Texas AM",7,"73"
"503","NCAA, South - First Round","2018","3","16","Texas",10,"83","Nevada",7,"87"
"504","NCAA, West - First Round","2018","3","16","Florida State",9,"67","Missouri",8,"54"
"505","NCAA, South - First Round","2018","3","16","Kansas State",9,"69","Creighton",8,"59"
"506","NCAA, East - Second Round","2018","3","17","Alabama",9,"58","Villanova",1,"81"
"507","NCAA, Midwest - Second Round","2018","3","17","Seton Hall",8,"79","Kansas",1,"83"
"508","NCAA, Midwest - Second Round","2018","3","17","Rhode Island",7,"62","Duke",2,"87"
"509","NCAA, East - Second Round","2018","3","17","Florida",6,"66","Texas Tech",3,"69"
"510","NCAA, West - Second Round","2018","3","17","Houston",6,"63","Michigan",3,"64"
"511","NCAA, South - Second Round","2018","3","17","Loyola IL",11,"63","Tennessee",3,"62"
"512","NCAA, West - Second Round","2018","3","17","Ohio State",5,"84","Gonzaga",4,"90"
"513","NCAA, South - Second Round","2018","3","17","Buffalo",13,"75","Kentucky",5,"95"
"514","NCAA, West - Second Round","2018","3","18","Florida State",9,"75","Xavier",1,"70"
"515","NCAA, East - Second Round","2018","3","18","Butler",10,"73","Purdue",2,"76"
"516","NCAA, South - Second Round","2018","3","18","Nevada",7,"75","Cincinnati",2,"73"
"517","NCAA, West - Second Round","2018","3","18","Texas AM",7,"86","UNC",2,"65"
"518","NCAA, Midwest - Second Round","2018","3","18","Syracuse",11,"55","Michigan State",3,"53"
"519","NCAA, Midwest - Second Round","2018","3","18","Clemson",5,"84","Auburn",4,"53"
"520","NCAA, East - Second Round","2018","3","18","Marshall",13,"71","West Virginia",5,"94"
"521","NCAA, South - Second Round","2018","3","18","UMBC",16,"43","Kansas State",9,"50"
"522","NCAA, West - Regional Semifinal","2018","3","22","Texas AM",7,"72","Michigan",3,"99"
"523","NCAA, West - Regional Semifinal","2018","3","22","Florida State",9,"75","Gonzaga",4,"60"
"524","NCAA, South - Regional Semifinal","2018","3","22","Kansas State",9,"61","Kentucky",5,"58"
"525","NCAA, South - Regional Semifinal","2018","3","22","Loyola IL",11,"69","Nevada",7,"68"
"526","NCAA, Midwest - Regional Semifinal","2018","3","23","Clemson",5,"76","Kansas",1,"80"
"527","NCAA, East - Regional Semifinal","2018","3","23","West Virginia",5,"78","Villanova",1,"90"
"528","NCAA, Midwest - Regional Semifinal","2018","3","23","Syracuse",11,"65","Duke",2,"69"
"529","NCAA, East - Regional Semifinal","2018","3","23","Texas Tech",3,"78","Purdue",2,"65"
"530","NCAA, West - Regional Final","2018","3","24","Florida State",9,"54","Michigan",3,"58"
"531","NCAA, South - Regional Final","2018","3","24","Loyola IL",11,"78","Kansas State",9,"62"
"532","NCAA, Midwest - Regional Final","2018","3","25","Duke",2,"81","Kansas",1,"85"
"533","NCAA, East - Regional Final","2018","3","25","Texas Tech",3,"59","Villanova",1,"71"
"534","NCAA, National - National Semifinal","2018","3","31","Villanova",1,"95","Kansas",1,"79"
"535","NCAA, National - National Semifinal","2018","3","31","Loyola IL",11,"57","Michigan",3,"69"
"536","NCAA, National - National Final","2018","4","2","Michigan",3,"62","Villanova",1,"79"
"541","NCAA, West - First Round","2019","3","21","Fairleigh Dickinson",16,"49","Gonzaga",1,"87"
"542","NCAA, Midwest - First Round","2019","3","21","Abilene Christian",15,"44","Kentucky",2,"79"
"543","NCAA, East - First Round","2019","3","21","Bradley",15,"65","Michigan State",2,"76"
"544","NCAA, West - First Round","2019","3","21","Montana",15,"55","Michigan",2,"74"
"545","NCAA, South - First Round","2019","3","21","Old Dominion",14,"48","Purdue",3,"61"
"546","NCAA, East - First Round","2019","3","21","Yale",14,"74","LSU",3,"79"
"547","NCAA, Midwest - First Round","2019","3","21","Northeastern",13,"53","Kansas",4,"87"
"548","NCAA, West - First Round","2019","3","21","Vermont",13,"69","Florida State",4,"76"
"549","NCAA, West - First Round","2019","3","21","Murray State",12,"83","Marquette",5,"64"
"550","NCAA, Midwest - First Round","2019","3","21","New Mexico State",12,"77","Auburn",5,"78"
"551","NCAA, East - First Round","2019","3","21","Belmont",11,"77","Maryland",6,"79"
"552","NCAA, South - First Round","2019","3","21","Saint Marys",11,"57","Villanova",6,"61"
"553","NCAA, West - First Round","2019","3","21","Florida",10,"70","Nevada",7,"61"
"554","NCAA, East - First Round","2019","3","21","Minnesota",10,"86","Louisville",7,"76"
"555","NCAA, Midwest - First Round","2019","3","21","Seton Hall",10,"68","Wofford",7,"84"
"556","NCAA, West - First Round","2019","3","21","Baylor",9,"78","Syracuse",8,"69"
"557","NCAA, South - First Round","2019","3","22","GardnerWebb",16,"56","Virginia",1,"71"
"558","NCAA, Midwest - First Round","2019","3","22","Iona",16,"73","UNC",1,"88"
"559","NCAA, East - First Round","2019","3","22","North Dakota State",16,"62","Duke",1,"85"
"560","NCAA, South - First Round","2019","3","22","Colgate",15,"70","Tennessee",2,"77"
"561","NCAA, Midwest - First Round","2019","3","22","Georgia State",14,"55","Houston",3,"84"
"562","NCAA, West - First Round","2019","3","22","Northern Kentucky",14,"57","Texas Tech",3,"72"
"563","NCAA, South - First Round","2019","3","22","UCIrvine",13,"70","Kansas State",4,"64"
"564","NCAA, East - First Round","2019","3","22","Saint Louis",13,"52","Virginia Tech",4,"66"
"565","NCAA, East - First Round","2019","3","22","Liberty",12,"80","Mississippi State",5,"76"
"566","NCAA, South - First Round","2019","3","22","Oregon",12,"72","Wisconsin",5,"54"
"567","NCAA, West - First Round","2019","3","22","Arizona State",11,"74","Buffalo",6,"91"
"568","NCAA, Midwest - First Round","2019","3","22","Ohio State",11,"62","Iowa State",6,"59"
"569","NCAA, South - First Round","2019","3","22","Iowa",10,"79","Cincinnati",7,"72"
"570","NCAA, East - First Round","2019","3","22","UCF",9,"73","VCU",8,"58"
"571","NCAA, South - First Round","2019","3","22","Oklahoma",9,"95","Ole Miss",8,"72"
"572","NCAA, Midwest - First Round","2019","3","22","Washington",9,"78","Utah State",8,"61"
"573","NCAA, West - Second Round","2019","3","23","Baylor",9,"71","Gonzaga",1,"83"
"574","NCAA, West - Second Round","2019","3","23","Florida",10,"49","Michigan",2,"64"
"575","NCAA, East - Second Round","2019","3","23","Minnesota",10,"50","Michigan State",2,"70"
"576","NCAA, Midwest - Second Round","2019","3","23","Wofford",7,"56","Kentucky",2,"62"
"577","NCAA, East - Second Round","2019","3","23","Maryland",6,"67","LSU",3,"69"
"578","NCAA, South - Second Round","2019","3","23","Villanova",6,"61","Purdue",3,"87"
"579","NCAA, Midwest - Second Round","2019","3","23","Auburn",5,"89","Kansas",4,"75"
"580","NCAA, West - Second Round","2019","3","23","Murray State",12,"62","Florida State",4,"90"
"581","NCAA, East - Second Round","2019","3","24","UCF",9,"76","Duke",1,"77"
"582","NCAA, South - Second Round","2019","3","24","Oklahoma",9,"51","Virginia",1,"63"
"583","NCAA, Midwest - Second Round","2019","3","24","Washington",9,"59","UNC",1,"81"
"584","NCAA, South - Second Round","2019","3","24","Iowa",10,"77","Tennessee",2,"83"
"585","NCAA, West - Second Round","2019","3","24","Buffalo",6,"58","Texas Tech",3,"78"
"586","NCAA, Midwest - Second Round","2019","3","24","Ohio State",11,"59","Houston",3,"74"
"587","NCAA, East - Second Round","2019","3","24","Liberty",12,"58","Virginia Tech",4,"67"
"588","NCAA, South - Second Round","2019","3","24","UCIrvine",13,"54","Oregon",12,"73"
"589","NCAA, West - Regional Semifinal","2019","3","28","Florida State",4,"58","Gonzaga",1,"72"
"590","NCAA, South - Regional Semifinal","2019","3","28","Oregon",12,"49","Virginia",1,"53"
"591","NCAA, South - Regional Semifinal","2019","3","28","Purdue",3,"99","Tennessee",2,"94"
"592","NCAA, West - Regional Semifinal","2019","3","28","Texas Tech",3,"63","Michigan",2,"44"
"593","NCAA, Midwest - Regional Semifinal","2019","3","29","Auburn",5,"97","UNC",1,"80"
"594","NCAA, East - Regional Semifinal","2019","3","29","Virginia Tech",4,"73","Duke",1,"75"
"595","NCAA, Midwest - Regional Semifinal","2019","3","29","Houston",3,"58","Kentucky",2,"62"
"596","NCAA, East - Regional Semifinal","2019","3","29","LSU",3,"63","Michigan State",2,"80"
"597","NCAA, South - Regional Final","2019","3","30","Purdue",3,"75","Virginia",1,"80"
"598","NCAA, West - Regional Final","2019","3","30","Texas Tech",3,"75","Gonzaga",1,"69"
"599","NCAA, East - Regional Final","2019","3","31","Michigan State",2,"68","Duke",1,"67"
"600","NCAA, Midwest - Regional Final","2019","3","31","Auburn",5,"77","Kentucky",2,"71"
"601","NCAA, National - National Semifinal","2019","4","6","Auburn",5,"62","Virginia",1,"63"
"602","NCAA, National - National Semifinal","2019","4","6","Texas Tech",3,"61","Michigan State",2,"51"
"603","NCAA, National - National Final","2019","4","8","Texas Tech",3,"77","Virginia",1,"85"
